Frankenstein,[578],["'"]
Frankenstein,[1280],['Heaven']
Frankenstein,[1315],['Archangel']
PrideAndPrejudice,[579],['Sir']
PrideAndPrejudice,[1288],['Heaven']
PrideAndPrejudice,[1649],['Mary']
Ulysses,[570],['God']
Ulysses,[893],['God']
Ulysses,[945],['Thalatta']
Ulysses,[947],['Thalatta']
Ulysses,[1821],['God']
Ulysses,[1906],['God']
Emma,[85],['Miss']
Emma,[89],['Mr.']
Emma,[127],['Miss']
Emma,[187],['Miss']
Emma,[289],['Miss']
Emma,[295],['Miss']
Emma,[683],['Mrs.']
Emma,[695],['Miss']
Emma,[983],['Miss']
Emma,[1117],['Miss']
Emma,[1152],['Miss']
Emma,[1227],['Miss']
Emma,[1297],['Miss']
DavidCopperfield,[912],['Miss']
DavidCopperfield,[916],['Miss']
DavidCopperfield,[989],['Miss']
DavidCopperfield,[1032],['Miss']
DavidCopperfield,[1230],['Miss']
DavidCopperfield,[1485],['Miss']
DavidCopperfield,[1627],['Miss']
DavidCopperfield,[1655],['Miss']
DavidCopperfield,[1681],['Saracen']
DavidCopperfield,[1737],['Miss']
DavidCopperfield,[1768],['Miss']
DavidCopperfield,[1824],['Miss']
DavidCopperfield,[1889],['Miss']
DavidCopperfield,[1918],['Miss']
DavidCopperfield,[1965],['Miss']
HuckleberryFinn,[722],['Miss']
HuckleberryFinn,[797],['Miss']
HuckleberryFinn,[1092],['Miss']
HuckleberryFinn,[1741],['Miss']
TheCallOfTheWild,[270, 271],['Judge', 'Miller']
VanityFair,[26],['Miss']
VanityFair,[111],['Miss']
VanityFair,[147],['Miss']
VanityFair,[152],['Miss']
VanityFair,[157],['Miss']
VanityFair,[201],['Miss']
VanityFair,[332],['Miss']
VanityFair,[343],['Miss']
VanityFair,[385],['Miss']
VanityFair,[394],['Miss']
VanityFair,[436],['Miss']
VanityFair,[446],['Miss']
VanityFair,[489],['Miss']
VanityFair,[784],['Miss']
VanityFair,[794],['Miss']
VanityFair,[844],['Miss']
VanityFair,[913],['Miss']
VanityFair,[929],['Miss']
VanityFair,[960],['Miss']
VanityFair,[965],['Miss']
VanityFair,[1015],['MISS']
VanityFair,[1020],['Miss']
VanityFair,[1084],['Miss']
VanityFair,[1092],['Miss']
VanityFair,[1114],['Miss']
VanityFair,[1132],['Miss']
VanityFair,[1141],['Miss']
VanityFair,[1289],['Miss']
VanityFair,[1338],['Mrs.']
VanityFair,[1358],['Dixonary']
VanityFair,[1450],['Miss']
VanityFair,[1461],['Miss']
VanityFair,[1479],['Miss']
VanityFair,[1515],['Dr.']
VanityFair,[1525],['Miss']
VanityFair,[1551],['Miss']
VanityFair,[1946],['Miss']
VanityFair,[1984],['Miss']
MobyDick,[1071],['Narcissus']
OliverTwist,[309],['Nature']
Frankenstein,[578],["'"]
Frankenstein,[1280],['Heaven']
Frankenstein,[1315],['Archangel']
PrideAndPrejudice,[579],['Sir']
PrideAndPrejudice,[1288],['Heaven']
PrideAndPrejudice,[1649],['Mary']
Ulysses,[570],['God']
Ulysses,[893],['God']
Ulysses,[945],['Thalatta']
Ulysses,[947],['Thalatta']
Ulysses,[1821],['God']
Ulysses,[1906],['God']
Emma,[85],['Miss']
Emma,[89],['Mr.']
Emma,[127],['Miss']
Emma,[187],['Miss']
Emma,[289],['Miss']
Emma,[295],['Miss']
Emma,[683],['Mrs.']
Emma,[695],['Miss']
Emma,[983],['Miss']
Emma,[1117],['Miss']
Emma,[1152],['Miss']
Emma,[1227],['Miss']
Emma,[1297],['Miss']
DavidCopperfield,[912],['Miss']
DavidCopperfield,[916],['Miss']
DavidCopperfield,[989],['Miss']
DavidCopperfield,[1032],['Miss']
DavidCopperfield,[1230],['Miss']
DavidCopperfield,[1485],['Miss']
DavidCopperfield,[1627],['Miss']
DavidCopperfield,[1655],['Miss']
DavidCopperfield,[1681],['Saracen']
DavidCopperfield,[1737],['Miss']
DavidCopperfield,[1768],['Miss']
DavidCopperfield,[1824],['Miss']
DavidCopperfield,[1889],['Miss']
DavidCopperfield,[1918],['Miss']
DavidCopperfield,[1965],['Miss']
HuckleberryFinn,[722],['Miss']
HuckleberryFinn,[797],['Miss']
HuckleberryFinn,[1092],['Miss']
HuckleberryFinn,[1741],['Miss']
TheCallOfTheWild,[270, 271],['Judge', 'Miller']
VanityFair,[26],['Miss']
VanityFair,[111],['Miss']
VanityFair,[147],['Miss']
VanityFair,[152],['Miss']
VanityFair,[157],['Miss']
VanityFair,[201],['Miss']
VanityFair,[332],['Miss']
VanityFair,[343],['Miss']
VanityFair,[385],['Miss']
VanityFair,[394],['Miss']
VanityFair,[436],['Miss']
VanityFair,[446],['Miss']
VanityFair,[489],['Miss']
VanityFair,[784],['Miss']
VanityFair,[794],['Miss']
VanityFair,[844],['Miss']
VanityFair,[913],['Miss']
VanityFair,[929],['Miss']
VanityFair,[960],['Miss']
VanityFair,[965],['Miss']
VanityFair,[1015],['MISS']
VanityFair,[1020],['Miss']
VanityFair,[1084],['Miss']
VanityFair,[1092],['Miss']
VanityFair,[1114],['Miss']
VanityFair,[1132],['Miss']
VanityFair,[1141],['Miss']
VanityFair,[1289],['Miss']
VanityFair,[1338],['Mrs.']
VanityFair,[1358],['Dixonary']
VanityFair,[1450],['Miss']
VanityFair,[1461],['Miss']
VanityFair,[1479],['Miss']
VanityFair,[1515],['Dr.']
VanityFair,[1525],['Miss']
VanityFair,[1551],['Miss']
VanityFair,[1946],['Miss']
VanityFair,[1984],['Miss']
MobyDick,[1071],['Narcissus']
OliverTwist,[309],['Nature']
